questions,answers
bạn có ở cùng với gia đình của mình chứ?,Mình ở cùng gia đình
quê bạn ở đâu?,quê mình ở Tiền Giang
bạn sống ở đâu?,mình sống ở quận 7 tp.Hồ Chí Minh
Hiện tại bạn ở đâu?,Hiện tại mình đang làm chuyên viên chăm sóc sức khỏe cho thú cưng của con trai tổng thống ở Nhà Trắng.
Quê bạn ở đâu?,"Quê mình là vùng nước mặn, đất đai cằn cỗi, Gò Công."
Địa chỉ trường bạn ở đâu?,"Cơ sở chính của trường mình là số 2 đường Nguyễn Hữu Thọ, Quận 7"
Bạn đang làm việc ở đâu?,"Mình chưa có công việc nhất định, nhưng đối với partjob thì mình đang làm gia sư."
Ủa Vậy bạn đang ở đâu dợ?,Mình đang ở Nhà Bè á.
Còn gia đình bạn ở đâu vậy?,"Gia đình mình đang sống ở Nhơn Trạch,Đồng Nai"
bạn đang ở đâu vậy?,mình đang ở thành phố Hồ Chí Minh
gia đình bạn ở đâu?,gia đình mình ở chung với mình.
bạn đang ở đâu?,mình đang sinh sống tại thành phố Hồ Chí Minh.
gia đình bạn ở đâu?,gia đình mình ở chung với nhau hạnh phúc.
Nhà bạn ở đâu?,nhà ở Bình Tân
Gia đình bạn ở đâu?,gia đình tôi ở Bình Tân luôn
Người yêu bạn ở đâu?,người yêu tôi ở quận 7 bạn êyyy
Ông nhà ở đâu thế?,Tui mới chuyển hộ khẩu vào trong tim ông á.
Vậy ông có sống chung với gia đình không?,"Có, tui đang sống trong tim ông mà."
Cho mình hỏi hiện tại bạn đang ở đâu?,mình đang ở cùng gia đình ở quận 6
Quê quán của bạn ở đâu?,quê mình ở phú thọ
Quê của bạn có gì thú vị?,mình cũng không biết nhiều lắm vì mình ít khi được về quê
Khu bạn sống có gì vui không?,"không có, mọi người ở quanh đó ít giao tiếp với nhau lắm"
"bạn ơi, nhà bạn ở đâu thế?","nhà mình ở đường số 19 Nguyễn Hữu Thọ, phường Tân Phong, TP Hồ Chí Minh"
Nhà cậu ở đâu thế ?,Nhà tớ ở bờ sông Trần Xuân Soạn.
Nhà cậu rộng bao nhiều mét vuông?,Nhà tớ rộng 1000 mét vuông có 2 hồ bơi và 100 hecta đất nuôi vịt.
Gia đình cậu ở đâu?,Gia đình tớ là tài phiệt ở Hà Nội.
Nông trại của cậu ở tỉnh nào ?,Nộng trại nhà tớ ở Côn Đảo.
Cậu có căn biệt thự ở Côn Đảo phải không?,Đúng rồi.
bạn sinh ở đâu?,
cho mình hỏi hiện tại bạn sống ở đâu?,
"bạn còn ở chung với bố, mẹ không?",
làm ơn cho mình biết bạn đã đi vũng tàu chưa?,
bạn tùng đi du lịch ở đâu?,
Nhà bạn ở đâu?,Nhà mình quận 7.
Gia đình bạn mấy người?,Gia đình có 4 người.
Cho mình hỏi bạn đang ở đâu ?,Mình đang là Việt Nam
Cho mình hỏi bạn đang sống với ai ?,Mình đang sống với gia đình
Cho mình hỏi bạn sống ở thành phố hay ở quê ?,Mình sống ở thành phố
Nhà bạn ở miền nào?,Miền Trung nhá
Bạn ở chung với bố mẹ hay bạn ở riêng?,Mình đi làm nên ở riêng rồi
Cho mình xin địa chỉ đi bạn,Chi vậy bạn ?
Quê bạn ở đâu?,Quê mình ở Bắc Giang
bạn sinh ở đâu?,TP.HCM
cho mình hỏi hiện tại bạn sống ở đâu?,đang ở thành phố luôn
"bạn còn ở chung với bố, mẹ không?",còn chứ.
làm ơn cho mình biết bạn đã đi vũng tàu chưa?,đi vài lần rồi .
bạn tùng đi du lịch ở đâu?,"mình cũng chả nhớ nhiều lắm ,đà nẵng ,đà lạt , phan thiết , nha trang , vũng tàu."
Nhà bạn ở miền nào?,Miền Trung nhá
Bạn ở chung với bố mẹ hay bạn ở riêng?,Mình đi làm nên ở riêng rồi
Cho mình xin địa chỉ đi bạn,Chi vậy bạn ?
Quê bạn ở đâu?,Quê mình ở Bắc Giang
nhà bạn ở đâu?,Ở thành phố HCM
cho mình hỏi bạn sống ở quận nào?,Quận 4
bạn đang ở tỉnh nào ở Việt Nam?,Tp. Hồ Chí Minh
địa chỉ cụ thể nhà bạn là gì?,243 Tôn Đản P8 Q4
nhà bạn ở đường nào?,Tôn Đản
đang sống ở đâu?,Sống tại quận 7
đang ở với gia đình hay với bạn?,Tôi sống với gia đình
Bạn đang sống ở đâu?,Sống tại quận 7
Bạn đang ở với gia đình hay với bạn?,Tôi sống với gia đình
Địa chỉ nhà ở đâu ?,Quảng Nam
Gia đình đang ở dưới quê hay trên sài gòn ?,ở dưới quê
Quê bạn ở đâu ?,Quê mình ở Nha Trang
Bạn đang ở trọ hay ở nhà trong thành phố HCM ?,Mình ở trọ
Bạn ở quận nào trong Thành phố ?,Mình ở quận 8
nhà bạn ở đâu?,Quận 5
cho mình hỏi bạn sống ở quận nào?,quận 5
bạn đang ở tỉnh nào ở Việt Nam?,Tp.HCM
địa chỉ cụ thể nhà bạn là gì?,80 nguyễn trãi
nhà bạn ở đường nào?,nguyễn trãi
Nhà bạn ở đâu?,Nhà mình ở Biên hòa
Bạn và gia đình bạn có đang sống chung?,Mình và gia đình đang sống chung
Bạn có đi làm thêm ở đâu không?,Mình không đi làm thêm
Cậu hiện giờ ở đâu?,Tớ hiện đang sống ở Thành phố Hồ Chí Minh
Gia đình cậu có sống ở Thành phố Hồ Chí Minh không?,Gia đình tớ đang ở cùng tớ
Cậu ở quận mấy?,Tớ ở quận Bình Thạnh
Quê cậu ở đâu?,"Quê tớ ở Long An, gần TPHCM"
Cậu có dự định chuyển chỗ ở không?,"Tớ nghĩ là không, hiện tại cuộc sống tớ đang ổn định"
Nhà của bạn ở đâu trong cái đất nước chữ S này.,"Nhà tuôi tọa lạc đâu đó á, bot tự tìm iii"
Gia đình bạn sống ở đâu?,Hiện tại thì sống ở đây thôi bot à
Quê quán mà bạn sống ở đâu?,Đồng nai nha cưng :)))
Địa chỉ nhà ở đâu ?,Quảng Nam
Gia đình đang ở dưới quê hay trên sài gòn ?,ở dưới quê
cho mình xin địa chỉ nhà của bạn?,"không bạn ơi, cuộc sống là nhiều khi không nên biết quá nhiều điểu về nhau"
cậu sống ở đâu?,Việt Nam nhá bạn
Hiện tại bạn đang ở trọ hay ở với gia đình?,Hiện tại mình đang ở với gia đình
Địa chỉ nhà bạn ở đâu nhỉ?,"Địa chỉ nhà mình là 3xx đường Y Moal, phường Tân Lợi, TP.Buôn Ma Thuột, tỉnh ĐắkLắk"
Miêu tả đường về nhà của bạn xíu được không ?,"Đường rộng thênh thang, nhiều quán trà sữa, ăn vặt. Đặc biệt là nhiều ninja, nhiều người mua đường và nhiều dân chơi."
Nhà anh có gần trung tâm thành phố không ạ?,Nhà anh đi bộ qua là tới trung tâm thành phố nha.
"Quê mình cũng ở Thanh Hoá, nhà bạn có ở gần uỷ ban tỉnh không?",Không rồi mình ở khá xa.
Gia đình bạn đang sống ở đâu?,"Hiện tại gia đình mình đang sống ở quê, mình và chị đang ở thành phố."
Chị cho em xin địa chỉ để em giao hàng ạ?,Em giao ở trường Đại học Tôn Đức Thắng cổng 1 giúp chị nha.
Ngày mai đi ăn ở quán nào cậu ơi?,Ngày mai mình đi ăn ở Hokkaido nhe.
Quê bạn ở đâu?,Quê mình ở Sài Gòn
Bạn sống ở quận nào?,Mình sống ở quận Tân Bình
Bạn sống ở thành phố nào?,Mình sống ở Thành phố Vũng Tàu
Khu bạn sống có gần trung tâm không?,Mình ở ngay trung tâm luôn
Hiện tại bạn ở đâu?,"Hiện tại tôi đang ở 380/81 Lê Văn Lương, hôm nào rảnh bạn ghé nhà tôi chơi nha."
Quê bạn ở đâu?,Quê tôi ở Tiền Giang nè bạn
Địa chỉ trường bạn ở đâu?,"Cơ sở chính của trường là số 2 đường Nguyễn Hữu Thọ, Quận 7"
Ở đâu bán bún đậu ngon vậy bạn?,"Tôi nghĩ ở đường Lê Văn Lương, gần trường đó bạn"
Quê bạn có gì ngon không?,Tây ninh thì tất nhiên là bánh tráng và muối tôm rồi
Gia đình bạn ở ddaau?,Bến Tre
Gia đình bạn có mấy người,4
Bạn sống ở đâu ?,Trong tim Cún á
Nhà bạn ở đường nào ?,Đường vào tim Cún
Nơi ở của bạn như thế nào ?,Toàn Gái và Gái
Bạn có sống chung với gia đình không ?,Of course
Bạn có thể miêu tả nơi bạn sống được không ?,Black Pink in my Area
Quê của bạn ở đâu ?,Long An
Bạn đang ở đâu ?,Đang ở dưới quê
Bạn có đang sống cùng với gia đình không ?,có nha bạn
Quê của bạn ở đâu ?,Long An
Bạn đang ở đâu ?,Đang ở dưới quê
Bạn có đang sống cùng với gia đình không ?,có nha bạn
bạn ở nhà thuê hay bạn có nhà ở thành phố Hồ Chí Minh vậy?,mình ở một căn nhà thuê nha bạn
bạn ở chỗ nào vậy?,mình ở quận Bình Thạnh nha bạn
quê của bạn ở đâu vậy?,mình đến từ thành phố Phan Rang
bạn đã từng chuyển nhà đến những quận nào rồi?,"mình có chuyển đến quận 6, quận 3 và quận 8"
bạn có muốn chuyển đến ở nơi nào không?,nếu có cơ hội mình muốn đện 7 sinh sống
Hiện tại bạn sống ở đâu?,có chi không?
Bạn có ở gần chợ không?,mình ở gần chợ
Từ nhà bạn tới trường bao xa?,Khoảng 3km
Nơi ở của bạn có nhiều tệ nạn?,có nhiều
Bạn sống chung với gia đình hay ở quê lên?,Mình sống chung với gia đình
bạn đang sống ở bang nào?,Mình đang ở Texas
Bạn có ở chung với gia đình không?,Mình không ở chung
bạn đang ở xa gia đình à?,đúng rồi bạn
bạn tính xây nhà ở đâu?,Mình tính xây ở Việt Nam
Ở nhà đất thì mặt tiền hay hẻm,Mặt tiền
Nhà mấy tấm đất,22 tấm
bạn đang sống ở đâu?,HCm
bạn đang ở cùng gia đình à?,Không
bạn đang ở xa gia đình à?,yup
bạn nhà ở đâu vậy?,Q7
trường của bạn đang học ở đâu ?,Q7
bạn đang ở thành phố hồ chí minh đúng không?,yup
Hiện tại bạn sống ở đâu?,dữ liệu cá nhân không trả lời được
Bạn có cảm thấy thoải mái ở nơi mình ở không?,yes
Từ nhà bạn tới trường có xa không?,Tầm rất xa
Nơi ở của bạn có điều gì thú vị không?,không có
Bạn sống chung với gia đình hay tự lập riêng ở ngoài?,tự lập là dở rồi
Địa chỉ chi tiết nhà bạn ở đâu?,dữ liệu cá nhân xin lỗi không thể tiết lộ
Bạn có muốn thử đến vùng khác sinh sống không?,tại sao là muốn chứ
nhà bạn ở đâu?,Ở Cao lãnh
cho mình hỏi bạn sống ở quận nào?,Tui ở quận 8 ông
hiện bạn đang ở đâu?,Tp. Hồ Chí Minh
địa chỉ cụ thể nhà bạn là gì?,143 Nguyễn Thị Tần
nhà bạn ở đường nào?,Mới nói ở trên đó
Bạn đến từ đâu ?,Mình đến từ Lào
Nhà bạn ở đâu ?,Nhà mình ở bên Mỹ Tho
Quê bạn có gì ngon không?,Quê Mình có Sầu riên siêu ngon
Quê nhà bạn có đặc sản gì ngon không ?,"Bánh pía ở quê mình được rất nhiều du khách đón tiếp, nếu có dịp thì bạn hãy dùng thử nhé"
Quê nhà bạn có nơi nào tham quan không ?,"Quê tui có nhiều nơi để tham quan, nhưng hấp dẫn du khách nhất chính là chùa dơi, mình cá là bạn chưa thấy dơi ngoài đời đâu"
"Lâu rồi không về thăm nhà bạn, gia đình ở quê có khoẻ không ?","Cảm ơn bạn, ba mẹ mình vẫn khỏe, tết này nếu có dịp bạn hãy qua nhà mình chơi nhé"
Bạn có nhớ quê nhà không ?,"Có chứ, mỗi lúc trời mưa mình đều nhớ đến những kỷ niệm lúc nhỏ được ba mẹ chở đi chơi ở hồ nước ngọt, mình rất mong được về quê để gặp ba mẹ ở quê nhà"
Bạn có nhiều người bạn ở quê không ?,"Hồi nhỏ mình bị trầm cảm nên bạn bè cũng mình rất ít, nhưng toàn là bạn thân, mình rất nhớ các bạn ấy"
quê bạn ở đâu?,quê mình ở Đà Lạt
Đà Lạt có món gì gọi là đặc sản không?,Đà Lạt có bơ sáp và dâu tây khá là ngon
từ đây về quê bạn mất bao lâu?,từ đây về Đà Lạt mất khoảng 5 tiếng đi xe
Đà Lạt cách TP.HCM bao xa?,Đà Lạt cách TP.HCM gần 300 km
bạn có thích không khí ở quê mình chứ?,mình rất thích không khí ở quê mình vì nó mát mẻ và trong lành
những dịp lễ bạn có hay về quê không?,mình chỉ về quê vào dịp Tết hoặc hè vì những dịp lễ Đà Lạt khá đông
Quê bạn ở đâu?,Mình quê ở Quảng Nam.
Quê bạn có những nơi nào để tham quan không?,"Quê mình có phố cổ Hội An, khi nào có cơ hội bạn đến thăm nhé."
Quê bạn cách Sài Gòn khoảng bao lâu?,Từ Sài Gòn về quê mình đi bằng xe lửa tầm 20 tiếng đồng hồ.
Gia đình bạn có mấy người?,Gia đình mình gồm 5 người
Bạn có thường xuyên về quê không?,Mình không thường xuyên về quê
Bao lâu rồi bạn chưa về quê?,Đã năm tháng rồi mình chưa về quê.
Bạn có nhớ quê không?,Mình rất nhớ quê vì ở đó có gia đình và bạn bè của mình.
Bạn có dự định về quê vào sắp tới không?,Tôi có kế hoạch về quê vào tết sắp tới
Quê bạn có đặc sản gì?,Đặc sản quê mình là Mỳ quảng
Bạn có biết chế biến nó không?,"Mình biết, khi nào rãnh mình làm cho bạn ăn thử."
Cho tôi hỏi quê của cậu ở đâu?,Quê tôi ở Hà Nội.
Tôi không biết phải đi đâu khi đến Hà Nội.,Cậu nên đến hồ Hoàn Kiếm ít nhất một lần.
Cậu có yêu quý quê hương mình không?,Tôi rất yêu mến Hà Nội xinh đẹp của tôi.
Cậu chỉ tôi biết xem Hà Nội có món ăn gì?,Cậu phải ăn món bún chả.
Ở quê cậu mọi người thường đi ngủ lúc mấy giờ?,Mọi người thường không ra đường sau 9 giờ đêm.
"Lâu rồi không gặp bạn nhỉ, quê bạn ở đâu thế? Mình quên rồi.",Quê mình ở Đà Lạt bạn ạ
Thế á? Đà Lạt đẹp lắm phải không bạn ? Mình đang dự tính lên Đà Lạt chơi,Đà Lạt chỗ nào cũng đẹp bạn nhé
